sample	date	File Name	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List
SRR33318626	2025-05-09_10-46-04	SRR33318626.fa	B3.13	MP:ea1, PB2:am2.2, NA:ea1, PA:ea1, PB1:am4, NP:am8, NS:am1.1, HA:ea1	ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am4:23-001855-001:PB1, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:HA	98.98%, 98.55%, 98.65%, 98.84%, 99.56%, 98.93%, 98.93%, 98.24%	10, 33, 19, 25, 10, 16, 9, 30	Ran on FASTA - No Coverage Report
SRR33318627	2025-05-09_10-46-04	SRR33318627.fa	B3.13	PB2:am2.2, HA:ea1, NS:am1.1, PA:ea1, NP:am8, MP:ea1, NA:ea1, PB1:am4	am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am8:23-032005-001:NP, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am4:23-001855-001:PB1	98.60%, 98.42%, 98.93%, 99.02%, 98.66%, 98.98%, 98.79%, 99.47%	32, 27, 9, 21, 20, 10, 17, 12	Ran on FASTA - No Coverage Report
SRR33318628	2025-05-09_10-46-38	SRR33318628.fa	B3.13	PA:ea1, NP:am8, HA:ea1, MP:ea1, NA:ea1, PB2:am2.2, NS:am1.1, PB1:am4	ea1:22-003707-003:PA, am8:23-032005-001:NP, ea1:22-003707-003:HA, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS, am4:23-001855-001:PB1	99.02%, 98.66%, 98.42%, 98.98%, 98.79%, 98.60%, 98.93%, 99.47%	21, 20, 27, 10, 17, 32, 9, 12	Ran on FASTA - No Coverage Report
SRR33318629	2025-05-09_10-52-49	SRR33318629.fa	B3.13	PB1:am4, PB2:am2.2, NS:am1.1, NP:am8, PA:ea1, HA:ea1, NA:ea1, MP:ea1	am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:MP	99.47%, 98.60%, 98.93%, 98.66%, 99.02%, 98.42%, 98.79%, 98.98%	12, 32, 9, 20, 21, 27, 17, 10	Ran on FASTA - No Coverage Report
SRR33318630	2025-05-09_10-49-36	SRR33318630.fa	B3.13	NS:am1.1, MP:ea1, NA:ea1, PA:ea1, PB1:am4, PB2:am2.2, HA:ea1, NP:am8	am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, am8:23-032005-001:NP	99.05%, 98.88%, 98.94%, 98.84%, 99.16%, 98.60%, 98.30%, 99.06%	8, 11, 15, 25, 19, 32, 29, 14	Ran on FASTA - No Coverage Report
SRR33318631	2025-05-09_10-49-36	SRR33318631.fa	B3.13	MP:ea1, NA:ea1, NS:am1.1, NP:am8, PB2:am2.2, PA:ea1, HA:ea1, PB1:am4	ea1:22-003707-003:MP, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, am8:23-032005-001:NP, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am4:23-001855-001:PB1	98.98%, 98.79%, 98.69%, 98.86%, 98.51%, 99.02%, 98.30%, 99.21%	10, 17, 11, 17, 34, 21, 29, 18	Ran on FASTA - No Coverage Report
SRR33318632	2025-05-09_10-45-22	SRR33318632.fa	B3.13	HA:ea1, PB1:am4, PA:ea1, NA:ea1, PB2:am2.2, NP:am8, NS:am1.1, MP:ea1	ea1:22-003707-003:HA, am4:23-001855-001:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:MP	98.24%, 99.25%, 98.79%, 98.79%, 98.55%, 99.00%, 99.17%, 98.88%	30, 17, 26, 17, 33, 15, 7, 11	Ran on FASTA - No Coverage Report
SRR33318633	2025-05-09_10-52-50	SRR33318633.fa	B3.13	PA:ea1, PB2:am2.2, HA:ea1, NS:am1.1, NP:am8, MP:ea1, NA:ea1, PB1:am4	ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am4:23-001855-001:PB1	98.84%, 98.60%, 98.24%, 99.17%, 99.06%, 98.88%, 98.94%, 99.25%	25, 32, 30, 7, 14, 11, 15, 17	Ran on FASTA - No Coverage Report
SRR33318634	2025-05-09_10-52-35	SRR33318634.fa	B3.13	PB2:am2.2, NP:am8, PA:ea1, PB1:am4, MP:ea1, HA:ea1, NS:am1.1, NA:ea1	am2.2:22-010445-001:PB2, am8:23-032005-001:NP, ea1:22-003707-003:PA, am4:23-001855-001:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, ea1:22-003707-003:NA	98.60%, 99.06%, 98.84%, 99.21%, 98.88%, 98.30%, 99.05%, 98.94%	32, 14, 25, 18, 11, 29, 8, 15	Ran on FASTA - No Coverage Report
SRR33318635	2025-05-09_10-45-38	SRR33318635.fa	B3.13	NS:am1.1, PB1:am4, HA:ea1, MP:ea1, NA:ea1, PA:ea1, PB2:am2.2, NP:am8	am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:HA, ea1:22-003707-003:MP, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, am8:23-032005-001:NP	99.05%, 99.25%, 98.30%, 98.88%, 98.86%, 98.75%, 98.55%, 99.00%	8, 17, 29, 11, 16, 27, 33, 15	Ran on FASTA - No Coverage Report
SRR33318636	2025-05-09_10-47-22	SRR33318636.fa	B3.13	HA:ea1, MP:ea1, PB2:am2.2, PA:ea1, NA:ea1, NS:am1.1, NP:am8, PB1:am4	ea1:22-003707-003:HA, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, am8:23-032005-001:NP, am4:23-001855-001:PB1	98.36%, 98.47%, 98.51%, 98.93%, 98.86%, 99.05%, 98.86%, 99.16%	28, 15, 34, 23, 16, 8, 17, 19	Ran on FASTA - No Coverage Report
SRR33318637	2025-05-09_10-47-57	SRR33318637.fa	B3.13	NA:ea1, PB2:am2.2, MP:ea1, NS:am1.1, NP:am8, PA:ea1, HA:ea1, PB1:am4	ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am4:23-001855-001:PB1	98.72%, 98.55%, 98.88%, 98.57%, 98.93%, 98.93%, 98.18%, 99.25%	18, 33, 11, 12, 16, 23, 31, 17	Ran on FASTA - No Coverage Report
SRR33318638	2025-05-09_10-47-57	SRR33318638.fa	B3.13	NA:ea1, PA:ea1, HA:ea1, PB2:am2.2, NS:am1.1, PB1:am4, NP:am8, MP:ea1	ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:MP	98.72%, 99.02%, 98.30%, 98.55%, 98.69%, 99.25%, 98.86%, 98.88%	18, 21, 29, 33, 11, 17, 17, 11	Ran on FASTA - No Coverage Report
SRR33318639	2025-05-09_10-46-28	SRR33318639.fa	B3.13	PB1:am4, NA:ea1, MP:ea1, NP:am8, HA:ea1, PB2:am2.2, NS:am1.1, PA:ea1	am4:23-001855-001:PB1, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am8:23-032005-001:NP, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS, ea1:22-003707-003:PA	99.21%, 98.65%, 98.78%, 98.86%, 98.24%, 98.64%, 99.17%, 98.88%	18, 19, 12, 17, 30, 31, 7, 24	Ran on FASTA - No Coverage Report
SRR33318640	2025-05-09_10-52-49	SRR33318640.fa	B3.13	PA:ea1, PB2:am2.2, PB1:am4, HA:ea1, MP:ea1, NA:ea1, NP:am8, NS:am1.1	ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1, ea1:22-003707-003:HA, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am8:23-032005-001:NP, am1.1:22-010085-001:NS	98.88%, 98.64%, 99.21%, 98.24%, 98.78%, 98.65%, 98.86%, 99.17%	24, 31, 18, 30, 12, 19, 17, 7	Ran on FASTA - No Coverage Report
SRR33318641	2025-05-09_10-52-49	SRR33318641.fa	B3.13	NS:am1.1, MP:ea1, HA:ea1, NP:am8, NA:ea1, PB1:am4, PB2:am2.2, PA:ea1	am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am8:23-032005-001:NP, ea1:22-003707-003:NA, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA	99.17%, 98.88%, 98.24%, 98.86%, 98.65%, 99.21%, 98.64%, 98.88%	7, 11, 30, 17, 19, 18, 31, 24	Ran on FASTA - No Coverage Report
SRR33318642	2025-05-09_10-47-13	SRR33318642.fa	B3.13	PA:ea1, HA:ea1, NA:ea1, NS:am1.1, NP:am8, PB1:am4, PB2:am2.2, MP:ea1	ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, am8:23-032005-001:NP, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP	98.88%, 98.24%, 98.86%, 99.05%, 99.00%, 99.38%, 98.60%, 98.88%	24, 30, 16, 8, 15, 14, 32, 11	Ran on FASTA - No Coverage Report
SRR33318643	2025-05-09_10-52-50	SRR33318643.fa	B3.13	NP:am8, NA:ea1, PA:ea1, HA:ea1, PB2:am2.2, MP:ea1, PB1:am4, NS:am1.1	am8:23-032005-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, am4:23-001855-001:PB1, am1.1:22-010085-001:NS	99.00%, 98.94%, 98.84%, 98.30%, 98.55%, 98.88%, 99.34%, 99.05%	15, 15, 25, 29, 33, 11, 15, 8	Ran on FASTA - No Coverage Report
SRR33319022	2025-05-09_10-52-51	SRR33319022.fa	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PA:am4, NP:am13, MP:ea3, HA:ea3, PB2:am24, NA:am4N1, NS:ea3	am4:24-030039-001:PA, am13:24-030039-001:NP, ea3:22-013001-001:MP, ea3:22-013001-001:HA, am24:24-030039-001:PB2, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, ea3:22-013001-001:NS	99.54%, 99.67%, 99.69%, 99.53%, 99.65%, 99.52%, 97.98%, 98.93%	8, 5, 3, 8, 8, 5, 46, 9	Ran on FASTA - No Coverage Report
SRR33319023	2025-05-09_10-52-51	SRR33319023.fa	D1.1	PB2:am24, NA:am4N1, NS:ea3, PA:am4, PB1:ea3, MP:ea3, HA:ea3, NP:am13	am24:24-030039-001:PB2, am4N1:24-030039-001:NA, ea3:22-013001-001:NS, am4:24-030039-001:PA, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, ea3:22-013001-001:HA, am13:24-030039-001:NP	99.65%, 99.33%, 98.93%, 99.43%, 98.76%, 99.69%, 99.47%, 99.73%	8, 7, 9, 10, 9, 3, 9, 4	Ran on FASTA - No Coverage Report
SRR33319024	2025-05-09_10-50-55	SRR33319024.fa	D1.1	PA:am4, NS:ea3, HA:ea3, PB2:am24, PB1:ea3, MP:ea3, NP:am13, NA:am4N1	am4:24-030039-001:PA, ea3:22-013001-001:NS, ea3:22-013001-001:HA, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, am13:24-030039-001:NP, am4N1:24-030039-001:NA	99.60%, 99.28%, 99.30%, 99.78%, 99.43%, 100.00%, 99.87%, 99.33%	7, 6, 12, 5, 13, 0, 2, 7	Ran on FASTA - No Coverage Report
SRR33319025	2025-05-09_10-47-19	SRR33319025.fa	D1.1	NS:ea3, NA:am4N1, PB1:ea3, MP:ea3, NP:am13, HA:ea3, PB2:am24, PA:am4	ea3:22-013001-001:NS, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, am13:24-030039-001:NP, ea3:22-013001-001:HA, am24:24-030039-001:PB2, am4:24-030039-001:PA	99.28%, 99.22%, 99.38%, 100.00%, 99.73%, 99.12%, 99.83%, 99.66%	6, 9, 14, 0, 4, 15, 4, 6	Ran on FASTA - No Coverage Report
SRR33319026	2025-05-09_10-47-46	SRR33319026.fa	D1.1	NA:am4N1, PB1:ea3, PB2:am24, NS:ea3, NP:am13, MP:ea3, HA:ea3, PA:am4	am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, am24:24-030039-001:PB2, ea3:22-013001-001:NS, am13:24-030039-001:NP, ea3:22-013001-001:MP, ea3:22-013001-001:HA, am4:24-030039-001:PA	99.33%, 99.34%, 99.69%, 99.28%, 99.67%, 99.80%, 99.35%, 99.77%	7, 15, 7, 6, 5, 2, 11, 5	Ran on FASTA - No Coverage Report
SRR33319027	2025-05-09_10-52-41	SRR33319027.fa	D1.1	HA:ea3, PA:am4, NS:ea3, NA:am4N1, MP:ea3, PB2:am24, NP:am13, PB1:ea3	ea3:22-013001-001:HA, am4:24-030039-001:PA, ea3:22-013001-001:NS, am4N1:24-030039-001:NA, ea3:22-013001-001:MP, am24:24-030039-001:PB2, am13:24-030039-001:NP, ea3:22-013001-001:PB1	99.30%, 99.67%, 99.05%, 99.11%, 99.80%, 99.65%, 99.93%, 98.99%	12, 7, 8, 10, 2, 8, 1, 23	Ran on FASTA - No Coverage Report
SRR33319028	2025-05-09_10-52-51	SRR33319028.fa	D1.3	NP:am13, MP:ea3, PA:am4, PB2:am24, PB1:ea3, HA:ea3, NA:ea3, NS:ea3	am13:24-030039-001:NP, ea3:22-013001-001:MP, am4:24-030039-001:PA, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, ea3:22-013001-001:HA, ea3:22-013001-001:NA, ea3:22-013001-001:NS	99.87%, 99.90%, 99.67%, 99.78%, 99.43%, 99.30%, 99.08%, 99.05%	2, 1, 7, 5, 13, 12, 13, 8	Ran on FASTA - No Coverage Report
SRR33319029	2025-05-09_10-52-51	SRR33319029.fa	D1.1	MP:ea3, NA:am4N1, NP:am13, HA:ea3, PB2:am24, PB1:ea3, NS:ea3, PA:am4	ea3:22-013001-001:MP, am4N1:24-030039-001:NA, am13:24-030039-001:NP, ea3:22-013001-001:HA, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, ea3:22-013001-001:NS, am4:24-030039-001:PA	99.80%, 98.85%, 99.67%, 99.41%, 99.69%, 99.08%, 99.28%, 98.74%	2, 12, 5, 10, 7, 21, 6, 22	Ran on FASTA - No Coverage Report
SRR33319030	2025-05-09_10-48-00	SRR33319030.fa	D1.1	NS:ea3, PB1:ea3, PB2:am24, HA:ea3, PA:am4, NP:am13, NA:am4N1, MP:ea3	ea3:22-013001-001:NS, ea3:22-013001-001:PB1, am24:24-030039-001:PB2, ea3:22-013001-001:HA, am4:24-030039-001:PA, am13:24-030039-001:NP, am4N1:24-030039-001:NA, ea3:22-013001-001:MP	99.28%, 99.34%, 99.83%, 99.24%, 99.60%, 99.73%, 99.33%, 99.90%	6, 15, 4, 13, 7, 4, 7, 1	Ran on FASTA - No Coverage Report
SRR33319031	2025-05-09_10-51-53	SRR33319031.fa	D1.1	NS:ea3, PA:am4, MP:ea3, NP:am13, PB2:am24, NA:am4N1, PB1:ea3, HA:ea3	ea3:22-013001-001:NS, am4:24-030039-001:PA, ea3:22-013001-001:MP, am13:24-030039-001:NP, am24:24-030039-001:PB2, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, ea3:22-013001-001:HA	99.05%, 99.72%, 99.90%, 99.67%, 99.61%, 99.11%, 99.17%, 99.47%	8, 5, 1, 5, 9, 10, 15, 9	Ran on FASTA - No Coverage Report
SRR33319032	2025-05-09_10-51-54	SRR33319032.fa	D1.1	PB1:ea3, NS:ea3, NA:am4N1, PA:am4, HA:ea3, PB2:am24, MP:ea3, NP:am13	ea3:22-013001-001:PB1, ea3:22-013001-001:NS, am4N1:24-030039-001:NA, am4:24-030039-001:PA, ea3:22-013001-001:HA, am24:24-030039-001:PB2, ea3:22-013001-001:MP, am13:24-030039-001:NP	99.25%, 99.05%, 99.38%, 99.72%, 99.35%, 99.83%, 99.80%, 99.80%	17, 8, 7, 6, 11, 4, 2, 3	Ran on FASTA - No Coverage Report
SRR33319033	2025-05-09_10-52-51	SRR33319033.fa	D1.1	NS:ea3, PA:am4, NA:am4N1, NP:am13, MP:ea3, PB2:am24, HA:ea3, PB1:ea3	ea3:22-013001-001:NS, am4:24-030039-001:PA, am4N1:24-030039-001:NA, am13:24-030039-001:NP, ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:HA, ea3:22-013001-001:PB1	99.05%, 99.77%, 99.38%, 99.80%, 99.80%, 99.83%, 99.35%, 99.25%	8, 5, 7, 3, 2, 4, 11, 17	Ran on FASTA - No Coverage Report
SRR33319034	2025-05-09_10-52-51	SRR33319034.fa	D1.1	HA:ea3, PA:am4, MP:ea3, NP:am13, NS:ea3, PB2:am24, PB1:ea3, NA:am4N1	ea3:22-013001-001:HA, am4:24-030039-001:PA, ea3:22-013001-001:MP, am13:24-030039-001:NP, ea3:22-013001-001:NS, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, am4N1:24-030039-001:NA	99.47%, 99.60%, 99.80%, 99.73%, 98.93%, 99.74%, 99.25%, 99.29%	9, 7, 2, 4, 9, 6, 17, 8	Ran on FASTA - No Coverage Report
SRR33319035	2025-05-09_10-52-51	SRR33319035.fa	D1.1	NS:ea3, NA:am4N1, MP:ea3, PB1:ea3, HA:ea3, PB2:am24, PA:am4, NP:am13	ea3:22-013001-001:NS, am4N1:24-030039-001:NA, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, ea3:22-013001-001:HA, am24:24-030039-001:PB2, am4:24-030039-001:PA, am13:24-030039-001:NP	98.81%, 99.20%, 99.80%, 99.38%, 99.47%, 99.78%, 99.67%, 99.60%	10, 9, 2, 14, 9, 5, 7, 6	Ran on FASTA - No Coverage Report
SRR33319036	2025-05-09_10-46-38	SRR33319036.fa	D1.1	NA:am4N1, PB1:ea3, MP:ea3, PA:am4, PB2:am24, HA:ea3, NS:ea3, NP:am13	am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, am4:24-030039-001:PA, am24:24-030039-001:PB2, ea3:22-013001-001:HA, ea3:22-013001-001:NS, am13:24-030039-001:NP	99.29%, 99.33%, 100.00%, 99.83%, 99.69%, 99.59%, 98.81%, 99.73%	8, 12, 0, 3, 7, 7, 10, 4	Ran on FASTA - No Coverage Report
SRR33319037	2025-05-09_10-52-51	SRR33319037.fa	D1.1	NP:am13, PB1:ea3, PB2:am24, MP:ea3, PA:am4, NS:ea3, HA:ea3, NA:am4N1	am13:24-030039-001:NP, ea3:22-013001-001:PB1, am24:24-030039-001:PB2, ea3:22-013001-001:MP, am4:24-030039-001:PA, ea3:22-013001-001:NS, ea3:22-013001-001:HA, am4N1:24-030039-001:NA	99.80%, 99.30%, 99.69%, 99.90%, 99.49%, 99.05%, 99.12%, 99.03%	3, 16, 7, 1, 9, 8, 15, 11	Ran on FASTA - No Coverage Report
SRR33319038	2025-05-09_10-49-30	SRR33319038.fa	D1.1	NP:am13, PB2:am24, HA:ea3, PA:am4, PB1:ea3, NS:ea3, NA:am4N1, MP:ea3	am13:24-030039-001:NP, am24:24-030039-001:PB2, ea3:22-013001-001:HA, am4:24-030039-001:PA, ea3:22-013001-001:PB1, ea3:22-013001-001:NS, am4N1:24-030039-001:NA, ea3:22-013001-001:MP	99.87%, 99.61%, 99.41%, 99.37%, 99.21%, 99.05%, 98.56%, 99.59%	2, 9, 10, 11, 18, 8, 15, 4	Ran on FASTA - No Coverage Report
SRR33319039	2025-05-09_10-52-51	SRR33319039.fa	D1.1	NS:ea3, NP:am13, PB2:am24, PA:am4, MP:ea3, HA:ea3, NA:am4N1, PB1:ea3	ea3:22-013001-001:NS, am13:24-030039-001:NP, am24:24-030039-001:PB2, am4:24-030039-001:PA, ea3:22-013001-001:MP, ea3:22-013001-001:HA, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1	99.17%, 99.73%, 99.47%, 99.72%, 99.80%, 99.41%, 99.33%, 99.25%	7, 4, 12, 6, 2, 10, 7, 17	Ran on FASTA - No Coverage Report
SRR33319040	2025-05-09_10-52-52	SRR33319040.fa	D1.1	PA:am4, NP:am13, NA:am4N1, MP:ea3, PB1:ea3, PB2:am24, NS:ea3, HA:ea3	am4:24-030039-001:PA, am13:24-030039-001:NP, am4N1:24-030039-001:NA, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, am24:24-030039-001:PB2, ea3:22-013001-001:NS, ea3:22-013001-001:HA	99.31%, 99.67%, 98.85%, 99.80%, 99.34%, 99.78%, 99.17%, 99.47%	12, 5, 12, 2, 15, 5, 7, 9	Ran on FASTA - No Coverage Report
SRR33319041	2025-05-09_10-48-17	SRR33319041.fa	D1.1	NS:ea3, NA:am4N1, PB2:am24, PB1:ea3, NP:am13, MP:ea3, HA:ea3, PA:am4	ea3:22-013001-001:NS, am4N1:24-030039-001:NA, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, am13:24-030039-001:NP, ea3:22-013001-001:MP, ea3:22-013001-001:HA, am4:24-030039-001:PA	99.17%, 99.23%, 99.78%, 99.36%, 99.67%, 99.69%, 99.24%, 99.83%	7, 8, 5, 9, 5, 3, 13, 3	Ran on FASTA - No Coverage Report
SRR33319042	2025-05-09_10-52-51	SRR33319042.fa	D1.1	MP:ea3, NS:ea3, HA:ea3, NA:am4N1, PB1:ea3, PB2:am24, NP:am13, PA:am4	ea3:22-013001-001:MP, ea3:22-013001-001:NS, ea3:22-013001-001:HA, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, am24:24-030039-001:PB2, am13:24-030039-001:NP, am4:24-030039-001:PA	99.59%, 99.17%, 99.47%, 99.38%, 99.34%, 99.78%, 99.87%, 99.86%	4, 7, 9, 7, 15, 5, 2, 3	Ran on FASTA - No Coverage Report
SRR33319043	2025-05-09_10-47-16	SRR33319043.fa	D1.1	HA:ea3, PB1:ea3, PB2:am24, NP:am13, PA:am4, NA:am4N1, NS:ea3, MP:ea3	ea3:22-013001-001:HA, ea3:22-013001-001:PB1, am24:24-030039-001:PB2, am13:24-030039-001:NP, am4:24-030039-001:PA, am4N1:24-030039-001:NA, ea3:22-013001-001:NS, ea3:22-013001-001:MP	99.18%, 99.34%, 99.83%, 99.67%, 99.63%, 99.56%, 98.93%, 99.90%	14, 15, 4, 5, 8, 5, 9, 1	Ran on FASTA - No Coverage Report
SRR33319044	2025-05-09_10-52-51	SRR33319044.fa	D1.1	PB1:ea3, PA:am4, PB2:am24, NS:ea3, MP:ea3, NP:am13, NA:am4N1, HA:ea3	ea3:22-013001-001:PB1, am4:24-030039-001:PA, am24:24-030039-001:PB2, ea3:22-013001-001:NS, ea3:22-013001-001:MP, am13:24-030039-001:NP, am4N1:24-030039-001:NA, ea3:22-013001-001:HA	99.22%, 99.91%, 99.83%, 98.69%, 100.00%, 99.60%, 99.52%, 99.47%	14, 2, 4, 11, 0, 6, 5, 9	Ran on FASTA - No Coverage Report
SRR33319045	2025-05-09_10-47-16	SRR33319045.fa	D1.1	MP:ea3, PB1:ea3, HA:ea3, PB2:am24, PA:am4, NS:ea3, NP:am13, NA:am4N1	ea3:22-013001-001:MP, ea3:22-013001-001:PB1, ea3:22-013001-001:HA, am24:24-030039-001:PB2, am4:24-030039-001:PA, ea3:22-013001-001:NS, am13:24-030039-001:NP, am4N1:24-030039-001:NA	100.00%, 99.39%, 99.47%, 99.65%, 99.83%, 98.69%, 99.80%, 99.47%	0, 11, 9, 8, 3, 11, 3, 6	Ran on FASTA - No Coverage Report
SRR33319046	2025-05-09_10-47-16	SRR33319046.fa	Not assigned: Only 3 segments >98.0% match found of total 8 segments in input file	MP:am1, PA:am6, NP:am1.6	am1:24-032138-001:MP, am6:24-032138-001:PA, am13:23-029854-021:PB1, am1.6:22-006530-002:NP, am2.2:22-010445-001:PB2, ea5:23-001397-012:HA, am1.2:22-010668-001:NS	98.06%, 99.22%, 97.71%, 98.60%, 93.68%, 82.16%, 92.84%	19, 10, 52, 21, 144, 89, 60	Ran on FASTA - No Coverage Report
SRR33319047	2025-05-09_10-52-52	SRR33319047.fa	D1.1	NP:am13, PA:am4, NS:ea3, MP:ea3, HA:ea3, PB1:ea3, NA:am4N1, PB2:am24	am13:24-030039-001:NP, am4:24-030039-001:PA, ea3:22-013001-001:NS, ea3:22-013001-001:MP, ea3:22-013001-001:HA, ea3:22-013001-001:PB1, am4N1:24-030039-001:NA, am24:24-030039-001:PB2	99.67%, 99.63%, 98.93%, 100.00%, 99.65%, 99.43%, 99.38%, 99.69%	5, 8, 9, 0, 6, 13, 7, 7	Ran on FASTA - No Coverage Report
SRR33319048	2025-05-09_10-47-30	SRR33319048.fa	D1.1	PB2:am24, PB1:ea3, NA:am4N1, NP:am13, HA:ea3, PA:am4, NS:ea3, MP:ea3	am24:24-030039-001:PB2, ea3:22-013001-001:PB1, am4N1:24-030039-001:NA, am13:24-030039-001:NP, ea3:22-013001-001:HA, am4:24-030039-001:PA, ea3:22-013001-001:NS, ea3:22-013001-001:MP	99.78%, 99.34%, 99.12%, 99.67%, 99.53%, 99.67%, 98.93%, 100.00%	5, 11, 10, 5, 8, 7, 9, 0	Ran on FASTA - No Coverage Report
SRR33319049	2025-05-09_10-52-52	SRR33319049.fa	D1.1	HA:ea3, MP:ea3, PB1:ea3, NS:ea3, NP:am13, PA:am4, NA:am4N1, PB2:am24	ea3:22-013001-001:HA, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, ea3:22-013001-001:NS, am13:24-030039-001:NP, am4:24-030039-001:PA, am4N1:24-030039-001:NA, am24:24-030039-001:PB2	99.65%, 99.80%, 99.34%, 98.81%, 99.60%, 99.58%, 98.94%, 99.65%	6, 2, 15, 10, 6, 9, 12, 8	Ran on FASTA - No Coverage Report
SRR33319050	2025-05-09_10-52-30	SRR33319050.fa	D1.1	PA:am4, NS:ea3, NP:am13, NA:am4N1, HA:ea3, PB2:am24, PB1:ea3, MP:ea3	am4:24-030039-001:PA, ea3:22-013001-001:NS, am13:24-030039-001:NP, am4N1:24-030039-001:NA, ea3:22-013001-001:HA, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, ea3:22-013001-001:MP	99.67%, 98.93%, 99.67%, 99.47%, 99.41%, 99.56%, 99.21%, 99.90%	7, 9, 5, 6, 10, 10, 18, 1	Ran on FASTA - No Coverage Report
